Country,Code,ContinentCode,Year,Economic growth: the rate of change of real GDP,Foreign aid and official development assistance received,Shadow economy percent of GDP,Tourist arrivals,Kidnappings per 100000 people
Albania,ALB,EU,1981,5.75,,,,
Albania,ALB,EU,1982,2.95,,,,
Albania,ALB,EU,1983,1.1,,,,
Albania,ALB,EU,1984,-1.25,,,,
Albania,ALB,EU,1985,1.78,,,,
Albania,ALB,EU,1986,5.64,,,,
Albania,ALB,EU,1987,-0.79,,,,
Albania,ALB,EU,1988,-1.42,5.56,,,
Albania,ALB,EU,1989,9.84,10.34,,,
Albania,ALB,EU,1990,-9.58,11.05,,,
Albania,ALB,EU,1991,-28,331.95,43.18,,
Albania,ALB,EU,1992,-7.19,409.64,40.18,,
Albania,ALB,EU,1993,9.56,270.68,39.45,,
Albania,ALB,EU,1994,8.3,163.1,40.07,,
Albania,ALB,EU,1995,13.32,180.6,39.18,304,
Albania,ALB,EU,1996,9.1,226.64,37.07,287,
Albania,ALB,EU,1997,-10.92,168.23,37.59,119,
Albania,ALB,EU,1998,8.83,268.74,38.16,184,
Albania,ALB,EU,1999,12.89,488.18,36.04,371,
Albania,ALB,EU,2000,6.95,317.85,35.3,317,
Albania,ALB,EU,2001,8.29,268.53,36.04,354,
Albania,ALB,EU,2002,4.54,307.36,33.67,470,
Albania,ALB,EU,2003,5.53,349.31,32.64,557,
Albania,ALB,EU,2004,5.51,300.94,31.72,645,
Albania,ALB,EU,2005,5.53,315.08,30.89,748,
Albania,ALB,EU,2006,5.9,324.04,29.58,937,0.4
Albania,ALB,EU,2007,5.98,308.63,28.53,1127,0.4
Albania,ALB,EU,2008,7.5,364.84,27.12,1420,0.3
Albania,ALB,EU,2009,3.35,357.15,26.91,1856,0.2
Albania,ALB,EU,2010,3.71,365.07,26.1,2417,0.3
Albania,ALB,EU,2011,2.55,379.48,25.41,2932,0.1
Albania,ALB,EU,2012,1.42,349.16,25.52,3514,0.1
Albania,ALB,EU,2013,1,269.98,25.68,3256,0.2
Albania,ALB,EU,2014,1.77,281.17,25.78,3673,0.1
Albania,ALB,EU,2015,2.22,335.16,26.21,4131,0.3
Bosnia and Herzegovina,BIH,EU,1989,,0.01,,,
Bosnia and Herzegovina,BIH,EU,1990,,0.01,,,
Bosnia and Herzegovina,BIH,EU,1991,,0.01,31.38,,
Bosnia and Herzegovina,BIH,EU,1992,,15.69,32.18,,
Bosnia and Herzegovina,BIH,EU,1993,,70.24,33.43,,
Bosnia and Herzegovina,BIH,EU,1994,,408.57,43.3,,
Bosnia and Herzegovina,BIH,EU,1995,20.8,965.8,44.45,,
Bosnia and Herzegovina,BIH,EU,1996,88.96,851.81,38.53,,
Bosnia and Herzegovina,BIH,EU,1997,34.39,862.05,36.66,115,
Bosnia and Herzegovina,BIH,EU,1998,15.6,914.97,33.25,148,
Bosnia and Herzegovina,BIH,EU,1999,9.6,1286.24,32.87,147,
Bosnia and Herzegovina,BIH,EU,2000,12.77,737.93,34.1,171,
Bosnia and Herzegovina,BIH,EU,2001,2.42,640.08,33.99,139,
Bosnia and Herzegovina,BIH,EU,2002,5.03,555.78,37.34,160,
Bosnia and Herzegovina,BIH,EU,2003,3.87,541.92,35.94,165,
Bosnia and Herzegovina,BIH,EU,2004,6.33,686.09,33.57,190,
Bosnia and Herzegovina,BIH,EU,2005,3.9,539.89,32.72,217,0.2
Bosnia and Herzegovina,BIH,EU,2006,5.41,536.84,33.48,256,0.2
Bosnia and Herzegovina,BIH,EU,2007,5.86,599.1,33.11,306,0.1
Bosnia and Herzegovina,BIH,EU,2008,5.44,465.01,30.97,322,0.2
Bosnia and Herzegovina,BIH,EU,2009,-3,417.34,33.13,311,0.2
Bosnia and Herzegovina,BIH,EU,2010,0.87,511.18,33.18,365,0
Bosnia and Herzegovina,BIH,EU,2011,0.96,625.78,32.6,392,0
Bosnia and Herzegovina,BIH,EU,2012,-0.82,568.02,32.59,439,0.1
Bosnia and Herzegovina,BIH,EU,2013,2.35,521.21,31.38,529,0.1
Bosnia and Herzegovina,BIH,EU,2014,1.15,630.2,31.19,536,0.1
Bosnia and Herzegovina,BIH,EU,2015,4.31,356.39,29.88,678,0
Bulgaria,BGR,EU,1981,4.9,,,,
Bulgaria,BGR,EU,1982,2.33,,,,
Bulgaria,BGR,EU,1983,3.43,,,,
Bulgaria,BGR,EU,1984,3.4,,,,
Bulgaria,BGR,EU,1985,2.68,,,,
Bulgaria,BGR,EU,1986,4.21,,,,
Bulgaria,BGR,EU,1987,6.05,,,,
Bulgaria,BGR,EU,1988,10.94,,,,
Bulgaria,BGR,EU,1989,-3.29,,,,
Bulgaria,BGR,EU,1990,-9.12,13.62,,,
Bulgaria,BGR,EU,1991,-8.45,315.68,35.13,,
Bulgaria,BGR,EU,1992,-7.27,147.51,34.99,,
Bulgaria,BGR,EU,1993,-1.48,114.65,36.05,,
Bulgaria,BGR,EU,1994,1.82,157.34,34.57,,
Bulgaria,BGR,EU,1995,2.86,113.07,32.93,8005,
Bulgaria,BGR,EU,1996,5.21,180.02,31.45,6811,
Bulgaria,BGR,EU,1997,-14.12,219.47,30.72,7543,
Bulgaria,BGR,EU,1998,3.79,238.8,32.83,5240,
Bulgaria,BGR,EU,1999,-8.4,266.56,34.6,5056,
Bulgaria,BGR,EU,2000,4.59,307.14,35.3,4922,
Bulgaria,BGR,EU,2001,3.82,345.95,34.91,5104,
Bulgaria,BGR,EU,2002,5.87,326.81,33.45,5563,
Bulgaria,BGR,EU,2003,5.24,419.41,32.97,6241,2.7
Bulgaria,BGR,EU,2004,6.51,618.37,30.58,6982,2.5
Bulgaria,BGR,EU,2005,7.06,,28.63,7282,2.5
Bulgaria,BGR,EU,2006,6.8,,26.78,7499,1.6
Bulgaria,BGR,EU,2007,6.65,,23.7,7726,1.8
Bulgaria,BGR,EU,2008,6.13,,22.77,8533,1.7
Bulgaria,BGR,EU,2009,-3.35,,24.08,7873,1.9
Bulgaria,BGR,EU,2010,1.56,,23.42,8374,1.6
Bulgaria,BGR,EU,2011,2.09,,22.39,8713,1
Bulgaria,BGR,EU,2012,0.75,,22.12,8867,1
Bulgaria,BGR,EU,2013,-0.54,,22.37,9192,1.2
Bulgaria,BGR,EU,2014,0.95,,21.6,9409,1.3
Bulgaria,BGR,EU,2015,3.4,,20.83,9317,1
Croatia,HRV,EU,1991,,,30.7,,
Croatia,HRV,EU,1992,,0.01,32.85,,
Croatia,HRV,EU,1993,,,34.93,,
Croatia,HRV,EU,1994,,109.66,35.91,,
Croatia,HRV,EU,1995,,53.28,37.33,16100,
Croatia,HRV,EU,1996,6.05,133.31,35.64,19085,
Croatia,HRV,EU,1997,6.17,40.36,32.64,23660,
Croatia,HRV,EU,1998,2.25,39.38,34.22,25499,
Croatia,HRV,EU,1999,-0.86,48.47,34.6,29215,
Croatia,HRV,EU,2000,2.96,65.51,32,37226,
Croatia,HRV,EU,2001,3.12,112.13,30.91,40129,
Croatia,HRV,EU,2002,5.82,130.6,29.06,41737,
Croatia,HRV,EU,2003,5.6,120.4,27.13,42857,
Croatia,HRV,EU,2004,4.18,119.66,26.1,44974,0.3
Croatia,HRV,EU,2005,4.31,123.46,24.96,45762,0.5
Croatia,HRV,EU,2006,5.08,196.51,23.8,47733,0.2
Croatia,HRV,EU,2007,5.08,162.91,22.5,52271,0.3
Croatia,HRV,EU,2008,2.01,241.06,21.56,51336,0.4
Croatia,HRV,EU,2009,-7.22,168.83,25.27,47573,0.3
Croatia,HRV,EU,2010,-1.24,131.55,25.6,49006,0.3
Croatia,HRV,EU,2011,-0.08,0.28,24.64,49969,0.1
Croatia,HRV,EU,2012,-2.34,,25.26,47185,0.1
Croatia,HRV,EU,2013,-0.4,,25.28,48345,0
Croatia,HRV,EU,2014,-0.43,,24.48,51168,0
Croatia,HRV,EU,2015,2.52,,22.96,55858,0
Estonia,EST,EU,1991,,15.37,23.54,,
Estonia,EST,EU,1992,,104.37,26.04,,
Estonia,EST,EU,1993,,42.31,29.13,,
Estonia,EST,EU,1994,,43.81,29.79,,
Estonia,EST,EU,1995,,58.05,30.51,2111,
Estonia,EST,EU,1996,4.94,59.37,30.22,2444,
Estonia,EST,EU,1997,13.05,65.91,27.01,2618,
Estonia,EST,EU,1998,4.34,90.99,26.79,2909,
Estonia,EST,EU,1999,-0.43,83.62,27.59,3181,
Estonia,EST,EU,2000,10.09,63.83,27.7,3310,
Estonia,EST,EU,2001,6,68.5,26.16,3230,
Estonia,EST,EU,2002,6.77,54.41,25.39,3253,
